"POS
NAL.","POS
DPTO","COD
ICFES",INSTITUCION,MUNICIPIO,NATURALEZA,JORNADA,EVALUADOS,PG  2022,PG 2021,"VARIACIÓN
PG",LC 2022,LC 2021,"VARIACIÓN
LC",MAT 2022,MAT 2021,"VARIACIÓN
MAT",SYC 2022,SYC 2021,"VARIACIÓN
SYC",CN 2022,CN 2021,"VARIACIÓN
CN",ING 2022,ING 2021,"VARIACIÓN
ING"
1192,43,111526,ESC SANTA BARBARA,SEVILLA,OFICIAL,MAÑANA,6,293.1,218.0,75.1,59,46.0,13.0,60,45.0,15.0,58,39.0,19.0,57,44.0,13.0,60,44.0,16.0
1200,44,26864,SAN JOSE,LA UNIÓN,OFICIAL,MAÑANA,98,293.1,289.0,4.1,63,62.0,1.0,59,58.0,1.0,56,56.0,0.0,56,56.0,0.0,60,56.0,4.0
1205,45,736850,COLEGIO COMFANDI TULUA,TULUÁ,NO OFICIAL,ÚNICA,71,292.7,293.0,-0.3,63,62.0,1.0,57,56.0,1.0,58,59.0,-1.0,55,56.0,-1.0,62,62.0,0.0
1208,46,136275,COLEGIO SAN LUIS - SEDE PRINCIPAL,SEVILLA,NO OFICIAL,MAÑANA,26,292.7,279.0,13.7,60,60.0,0.0,59,54.0,5.0,56,54.0,2.0,57,54.0,3.0,65,60.0,5.0
1209,47,136051,COLEGIO SAN PEDRO CLAVER,TULUÁ,NO OFICIAL,MAÑANA,79,292.7,288.0,4.7,61,60.0,1.0,59,58.0,1.0,56,55.0,1.0,57,57.0,0.0,62,60.0,2.0
1234,48,18465,GINEBRA LA SALLE,GINEBRA,OFICIAL,MAÑANA,94,292.3,285.0,7.3,62,61.0,1.0,59,58.0,1.0,56,55.0,1.0,58,55.0,3.0,55,54.0,1.0
1237,49,638189,INSTITUCION EDUCATIVA LICEO DEL SABER - SEDE PRINCIPAL,ZARZAL,NO OFICIAL,MAÑANA,18,292.3,293.0,-0.7,63,63.0,0.0,59,57.0,2.0,54,54.0,0.0,56,58.0,-2.0,64,67.0,-3.0
1259,50,17798,INSTITUCION EDUCATIVA LICEO DEPARTAMENTAL - SEDE PRINCIPAL,CALI,OFICIAL,MAÑANA,232,291.9,287.0,4.9,61,61.0,0.0,58,56.0,2.0,57,57.0,0.0,57,55.0,2.0,60,59.0,1.0
1260,51,17681,"INSTITUCION EDUCATIVA TECNICA DE COMERCIO SIMON
RODRIGUEZ",CALI,OFICIAL,MAÑANA,74,291.9,274.0,17.9,61,58.0,3.0,58,54.0,4.0,56,53.0,3.0,58,54.0,4.0,60,55.0,5.0
1284,52,136846,LICEO MAYOR DEL PACIFICO,BUENAVENTURA,NO OFICIAL,MAÑANA,6,291.5,239.0,52.5,63,53.0,10.0,54,48.0,6.0,57,47.0,10.0,58,44.0,14.0,62,45.0,17.0
1286,53,153163,NUEVO HORIZONTE,ANDALUCÍA,NO OFICIAL,MAÑANA,20,291.5,262.0,29.5,60,56.0,4.0,58,52.0,6.0,59,50.0,9.0,57,51.0,6.0,56,54.0,2.0
1288,54,158063,COLEGIO TÉCNICO INPROVACC,CALI,NO OFICIAL,MAÑANA,26,291.2,282.0,9.2,61,59.0,2.0,57,55.0,2.0,58,57.0,1.0,56,55.0,1.0,61,54.0,7.0
1290,55,94763,COLEGIO SENDEROS,JAMUNDÍ,NO OFICIAL,MAÑANA,25,291.2,293.0,-1.8,61,63.0,-2.0,58,58.0,0.0,55,56.0,-1.0,57,55.0,2.0,64,65.0,-1.0
1304,56,84426,CENTRO EDUCATIVO LEONARDO DA VINCI,CALI,NO OFICIAL,MAÑANA,17,290.8,288.0,2.8,59,61.0,-2.0,59,59.0,0.0,57,54.0,3.0,59,58.0,1.0,54,53.0,1.0
1322,57,89136,INSTITUCION EDUCATIVA VILLACOLOMBIA,CALI,OFICIAL,MAÑANA,39,290.8,283.0,7.8,62,60.0,2.0,57,56.0,1.0,56,54.0,2.0,57,55.0,2.0,60,62.0,-2.0
1344,58,31286,COLEGIO NUESTRA SEÑORA DE FATIMA,CALI,OFICIAL,MAÑANA,70,290.0,285.0,5.0,61,60.0,1.0,56,56.0,0.0,58,56.0,2.0,56,55.0,1.0,61,60.0,1.0
1354,59,18671,INST. TECNICO INDUSTRIAL FRAY LUIS AMIGO,PALMIRA,NO OFICIAL,COMPLETA,37,290.0,276.0,14.0,61,59.0,2.0,58,53.0,5.0,56,54.0,2.0,56,53.0,3.0,61,61.0,0.0
1370,60,106369,COLEGIO PARROQUIAL SAN FRANCISCO JAVIER,CALI,NO OFICIAL,MAÑANA,89,289.6,292.0,-2.4,60,60.0,0.0,59,59.0,0.0,56,56.0,0.0,57,58.0,-1.0,57,59.0,-2.0
1385,61,629840,COLEGIO CIUDAD CÓRDOBA,CALI,NO OFICIAL,TARDE,27,289.2,277.0,12.2,61,60.0,1.0,59,55.0,4.0,55,53.0,2.0,57,54.0,3.0,56,54.0,2.0
1406,62,58784,INSTITUTO COMERCIAL SAN FRANCISCO DE ASÍS,FLORIDA,NO OFICIAL,MAÑANA,26,288.8,300.0,-11.2,60,62.0,-2.0,58,60.0,-2.0,57,60.0,-3.0,57,59.0,-2.0,55,56.0,-1.0
1444,63,142679,LICEO  SAGRADO CORAZON DE JESUS - SEDE PRINCIPAL,CALI,NO OFICIAL,COMPLETA,23,288.1,267.0,21.1,61,58.0,3.0,60,53.0,7.0,54,51.0,3.0,55,51.0,4.0,59,56.0,3.0
1467,64,631556,CENTRO DOCENTE SANTIAGO DE CALI NO.2,CALI,NO OFICIAL,MAÑANA,26,287.3,278.0,9.3,61,59.0,2.0,57,56.0,1.0,55,51.0,4.0,56,56.0,0.0,60,57.0,3.0
1481,65,18077,SEMINARIO SAN BUENAVENTURA,BUENAVENTURA,NO OFICIAL,MAÑANA,28,287.3,270.0,17.3,60,58.0,2.0,57,54.0,3.0,57,52.0,5.0,55,51.0,4.0,60,57.0,3.0
1529,66,62604,INST.COMERCIAL DEL PACIFICO,BUENAVENTURA,NO OFICIAL,MAÑANA,31,286.2,282.0,4.2,60,60.0,0.0,58,57.0,1.0,55,53.0,2.0,56,54.0,2.0,57,60.0,-3.0
1533,67,553875,JOSE HOLGUIN GARCES,CALI,OFICIAL,ÚNICA,13,286.2,263.0,23.2,60,54.0,6.0,58,53.0,5.0,55,51.0,4.0,56,53.0,3.0,57,50.0,7.0
1536,68,18259,MARÍA AUXILIADORA DEPARTAMENTAL,CARTAGO,OFICIAL,MAÑANA,111,286.2,280.0,6.2,59,60.0,-1.0,59,56.0,3.0,55,54.0,1.0,55,53.0,2.0,60,60.0,0.0
1539,69,701771,CENTRO EDUCATIVO HORIZONTES,PALMIRA,NO OFICIAL,MAÑANA,8,285.8,287.0,-1.2,59,59.0,0.0,57,58.0,-1.0,55,55.0,0.0,57,57.0,0.0,59,59.0,0.0
1569,70,637637,COLEGIO GUILLERMO PONCE DE LEON,TULUÁ,NO OFICIAL,MAÑANA,20,285.4,306.0,-20.6,59,63.0,-4.0,56,62.0,-6.0,55,58.0,-3.0,55,59.0,-4.0,67,70.0,-3.0
1590,71,66084,COLEGIO CIUDAD CÓRDOBA,CALI,NO OFICIAL,MAÑANA,55,285.0,278.0,7.0,60,58.0,2.0,57,56.0,1.0,55,52.0,3.0,56,56.0,0.0,57,56.0,1.0
1596,72,193672,COLEGIO PARROQUIAL MARIA INMACULADA,PRADERA,NO OFICIAL,MAÑANA,15,285.0,276.0,9.0,60,59.0,1.0,56,55.0,1.0,56,54.0,2.0,55,52.0,3.0,60,57.0,3.0
1609,73,723403,LA PROVIDENCIA,CALI,OFICIAL,MAÑANA,32,285.0,280.0,5.0,58,58.0,0.0,60,56.0,4.0,54,53.0,1.0,56,57.0,-1.0,57,57.0,0.0
1612,74,671081,TULIO ENRIQUE TASCON - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,TARDE,190,285.0,282.0,3.0,60,59.0,1.0,59,58.0,1.0,54,54.0,0.0,55,55.0,0.0,57,56.0,1.0
1613,75,730135,CENTRO EDUCATIVO CONOCIMIENTO Y SABIDURIA - SEDE PRINCIPAL,BUENAVENTURA,NO OFICIAL,TARDE,57,284.6,287.0,-2.4,61,62.0,-1.0,55,55.0,0.0,56,55.0,1.0,53,55.0,-2.0,65,64.0,1.0
1650,76,36863,ESCUELA MERCANTIL,TULUÁ,NO OFICIAL,COMPLETA,29,284.2,281.0,3.2,59,58.0,1.0,56,57.0,-1.0,57,55.0,2.0,54,54.0,0.0,61,58.0,3.0
1684,77,70128,CENT DOC SANTIAGO DE CALI,CALI,NO OFICIAL,MAÑANA,55,283.5,258.0,25.5,60,55.0,5.0,56,51.0,5.0,54,50.0,4.0,56,50.0,6.0,59,52.0,7.0
1728,78,143255,JOSE MARIA CORDOBA,YUMBO,OFICIAL,MAÑANA,103,283.1,265.0,18.1,59,57.0,2.0,59,53.0,6.0,53,50.0,3.0,56,51.0,5.0,55,55.0,0.0
1756,79,632422,LICEO DE OCCIDENTE,BUENAVENTURA,NO OFICIAL,MAÑANA,34,282.7,274.0,8.7,58,59.0,-1.0,58,54.0,4.0,54,54.0,0.0,55,52.0,3.0,60,56.0,4.0
1759,80,190652,CENT EDUC JUAN CARLOS GARZON,CALI,NO OFICIAL,MAÑANA,20,282.3,265.0,17.3,59,55.0,4.0,60,55.0,5.0,52,51.0,1.0,56,52.0,4.0,53,51.0,2.0
1764,81,52878,COLEGIO NAVAL JOSE PRUDENCIO PADILLA,BUENAVENTURA,OFICIAL,MAÑANA,9,282.3,277.0,5.3,60,61.0,-1.0,53,55.0,-2.0,55,52.0,3.0,57,53.0,4.0,59,57.0,2.0
1814,83,630392,LICEO PIGMALION,CALI,NO OFICIAL,MAÑANA,40,281.9,267.0,14.9,60,58.0,2.0,56,52.0,4.0,56,52.0,4.0,54,52.0,2.0,55,51.0,4.0
1843,84,66258,"INSTITUCION EDUCATIVA TECNICO INDUSTRIAL PEDRO ANTONIO
MOLINA",CALI,OFICIAL,MAÑANA,103,281.2,280.0,1.2,60,59.0,1.0,56,57.0,-1.0,54,54.0,0.0,54,53.0,1.0,59,60.0,-1.0
1851,85,119669,COL CAMILO TORRES,PALMIRA,NO OFICIAL,MAÑANA,19,280.8,278.0,2.8,61,60.0,1.0,55,55.0,0.0,56,55.0,1.0,54,53.0,1.0,52,55.0,-3.0
1857,86,106062,COLEGIO LITORAL PACIFICO,CALI,NO OFICIAL,MAÑANA,1,280.8,316.0,-35.2,61,65.0,-4.0,60,61.0,-1.0,50,62.0,-12.0,55,63.0,-8.0,52,68.0,-16.0
1892,87,124933,PABLO VI,CALIMA,OFICIAL,MAÑANA,5,280.4,245.0,35.4,58,52.0,6.0,57,47.0,10.0,58,48.0,10.0,52,51.0,1.0,54,42.0,12.0
1895,88,125021,COL ACAD EL POBLADO,CALI,NO OFICIAL,MAÑANA,42,280.0,275.0,5.0,58,57.0,1.0,58,58.0,0.0,53,52.0,1.0,55,53.0,2.0,56,54.0,2.0
1905,89,94979,INST TEC AGROP Y FORESTAL SMURFIT CARTÓN DE COLOMBIA,CALIMA,NO OFICIAL,COMPLETA,18,280.0,268.0,12.0,57,55.0,2.0,59,55.0,4.0,53,53.0,0.0,55,53.0,2.0,56,49.0,7.0
1918,90,74740,CENT EDUC SEBASTIAN DE BELALCAZAR,CALI,NO OFICIAL,COMPLETA,24,279.6,279.0,0.6,59,60.0,-1.0,54,54.0,0.0,56,54.0,2.0,53,54.0,-1.0,61,60.0,1.0
1922,91,43372,COL GIMNASIO MODERNO DEL VALLE,JAMUNDÍ,NO OFICIAL,MAÑANA,75,279.6,263.0,16.6,59,56.0,3.0,57,53.0,4.0,53,49.0,4.0,54,51.0,3.0,58,57.0,1.0
1932,92,738930,CONCENTRACION DE DESARROLLO RURAL,LA CUMBRE,OFICIAL,ÚNICA,12,279.6,262.0,17.6,59,53.0,6.0,56,56.0,0.0,55,50.0,5.0,53,52.0,1.0,58,48.0,10.0
1948,93,194977,MERCEDES ABREGO,PALMIRA,OFICIAL,MAÑANA,47,279.6,279.0,0.6,57,58.0,-1.0,57,56.0,1.0,54,53.0,1.0,55,56.0,-1.0,58,56.0,2.0
1971,94,74831,INSTITUTO MARIA MONTESSORI,TULUÁ,NO OFICIAL,MAÑANA,17,279.2,257.0,22.2,57,57.0,0.0,57,50.0,7.0,53,49.0,4.0,55,48.0,7.0,60,56.0,4.0
1976,95,671156,TÉCNICA INDUSTRIAL ESPAÑA-SEDE PRINCIPAL,JAMUNDÍ,OFICIAL,ÚNICA,143,279.2,267.0,12.2,58,57.0,1.0,57,53.0,4.0,55,52.0,3.0,54,51.0,3.0,54,54.0,0.0
2001,97,723601,LICEO COLOMBIA JOVEN,CALI,NO OFICIAL,TARDE,51,278.8,259.0,19.8,59,56.0,3.0,56,53.0,3.0,54,49.0,5.0,54,51.0,3.0,56,47.0,9.0
2028,98,744052,JUAN SALVADOR GAVIOTA,EL DOVIO,OFICIAL,ÚNICA,11,278.5,285.0,-6.5,58,60.0,-2.0,58,58.0,0.0,53,56.0,-3.0,55,57.0,-2.0,52,48.0,4.0
2058,99,636522,COL CIUDAD DE CANDELARIA,CANDELARIA,NO OFICIAL,MAÑANA,13,277.7,257.0,20.7,57,55.0,2.0,54,52.0,2.0,58,49.0,9.0,53,49.0,4.0,56,52.0,4.0
2080,100,18705,SAGRADA FAMILIA,PALMIRA,OFICIAL,MAÑANA,61,277.7,286.0,-8.3,59,60.0,-1.0,57,56.0,1.0,53,56.0,-3.0,53,56.0,-3.0,56,59.0,-3.0
2094,101,707802,COMUNEROS II,CALI,OFICIAL,MAÑANA,40,277.3,252.0,25.3,58,54.0,4.0,55,51.0,4.0,53,47.0,6.0,56,50.0,6.0,55,48.0,7.0
2105,102,753574,ROSA ZARATE DE PEÑA,PALMIRA,OFICIAL,ÚNICA,13,277.3,293.0,-15.7,57,59.0,-2.0,55,59.0,-4.0,54,57.0,-3.0,56,59.0,-3.0,55,59.0,-4.0
2108,103,725481,BARTOLOME MITRE,CALI,OFICIAL,MAÑANA,102,276.9,266.0,10.9,58,59.0,-1.0,54,54.0,0.0,55,49.0,6.0,55,51.0,4.0,54,53.0,1.0
2112,104,738815,CENTRO EDUCATIVO INDUSTRIAL LUIS MADINA,CALI,NO OFICIAL,COMPLETA,146,276.9,275.0,1.9,58,59.0,-1.0,56,55.0,1.0,53,53.0,0.0,54,53.0,1.0,57,56.0,1.0
2116,105,78790,COL PARROQUIAL NUESTRA SEÑORA DE FÁTIMA,ANSERMANUEVO,NO OFICIAL,MAÑANA,14,276.9,265.0,11.9,58,55.0,3.0,57,57.0,0.0,54,50.0,4.0,53,50.0,3.0,54,53.0,1.0
2118,106,164293,COLEGIO BAHAI SIMMONS,JAMUNDÍ,NO OFICIAL,MAÑANA,17,276.9,283.0,-6.1,59,61.0,-2.0,56,57.0,-1.0,52,53.0,-1.0,54,56.0,-2.0,57,56.0,1.0
2119,107,702639,COLEGIO CIUDAD DEL CAMPO - SEDE PRINCIPAL,PALMIRA,NO OFICIAL,MAÑANA,50,276.9,262.0,14.9,59,56.0,3.0,56,54.0,2.0,55,50.0,5.0,52,49.0,3.0,54,53.0,1.0
2132,108,707869,SAN LUIS,CALI,OFICIAL,MAÑANA,62,276.9,271.0,5.9,59,58.0,1.0,55,55.0,0.0,54,52.0,2.0,54,53.0,1.0,54,51.0,3.0
2149,109,17657,"INSTITUCION EDUCATIVA TCNICO COMERCIAL JOSE MARIA VIVAS
BALCAZAR",CALI,OFICIAL,MAÑANA,75,276.5,262.0,14.5,59,56.0,3.0,55,52.0,3.0,55,50.0,5.0,53,51.0,2.0,53,53.0,0.0
2151,110,561993,JULIA SAAVEDRA DE VILLAFAÑE,PALMIRA,OFICIAL,MAÑANA,23,276.5,253.0,23.5,59,55.0,4.0,53,50.0,3.0,55,50.0,5.0,55,48.0,7.0,53,49.0,4.0
2153,111,18697,LICEO FEMENINO,PALMIRA,OFICIAL,MAÑANA,136,276.5,275.0,1.5,59,58.0,1.0,56,57.0,-1.0,53,53.0,0.0,54,53.0,1.0,53,53.0,0.0
2183,112,179531,"ACADEMIA GENERAL CARLOS JULIO GIL COLORADO   - SEDE
PRINCIPAL",TULUÁ,NO OFICIAL,COMPLETA,12,275.8,258.0,17.8,58,54.0,4.0,56,51.0,5.0,53,50.0,3.0,53,51.0,2.0,57,53.0,4.0
2221,113,111708,LICEO CAÑAVERAL DE OCCIDENTE,CALI,NO OFICIAL,MAÑANA,19,275.8,254.0,21.8,59,54.0,5.0,55,50.0,5.0,53,50.0,3.0,54,48.0,6.0,54,54.0,0.0
2233,114,18333,COLEGIO TÉCNICO COMERCIAL DIOCESANO SANTA MARIA,CARTAGO,NO OFICIAL,MAÑANA,14,275.4,243.0,32.4,57,51.0,6.0,56,48.0,8.0,53,46.0,7.0,54,48.0,6.0,56,53.0,3.0
2234,115,118307,"CORPORACIÓN EDUCATIVA POPULAR-LICEO DE LA AMISTAD - SEDE
PRINCIPAL",CALI,NO OFICIAL,COMPLETA,47,275.4,269.0,6.4,58,58.0,0.0,56,53.0,3.0,53,51.0,2.0,53,53.0,0.0,56,55.0,1.0
2247,116,694711,CENTRO DOCENTE LOS COMUNEROS,CALI,OFICIAL,ÚNICA,9,275.0,227.0,48.0,60,50.0,10.0,54,45.0,9.0,55,41.0,14.0,53,46.0,7.0,49,45.0,4.0
2274,117,707745,NARIÑO,CALI,OFICIAL,MAÑANA,91,275.0,262.0,13.0,59,57.0,2.0,53,51.0,2.0,54,50.0,4.0,54,52.0,2.0,55,50.0,5.0
2279,118,157693,COL CRISTIANO AMOR Y PAZ,CALI,NO OFICIAL,MAÑANA,20,274.6,264.0,10.6,58,56.0,2.0,56,54.0,2.0,52,50.0,2.0,53,50.0,3.0,57,56.0,1.0
2307,119,557959,SIMON BOLIVAR,CARTAGO,OFICIAL,MAÑANA,3,274.6,217.0,57.6,59,48.0,11.0,53,43.0,10.0,55,41.0,14.0,54,43.0,11.0,51,38.0,13.0
2337,120,17574,INSTITUTO MODERNO,CALI,NO OFICIAL,MAÑANA,15,274.2,259.0,15.2,58,55.0,3.0,56,54.0,2.0,53,48.0,5.0,54,50.0,4.0,50,52.0,-2.0
2340,121,118414,JUAN PABLO II,PALMIRA,OFICIAL,MAÑANA,88,274.2,294.0,-19.8,58,59.0,-1.0,56,60.0,-4.0,53,57.0,-4.0,54,60.0,-6.0,50,56.0,-6.0
2345,122,659722,CARLOS ARTURO CABAL,GUADALAJARA DE BUGA,OFICIAL,MAÑANA,87,273.8,264.0,9.8,58,57.0,1.0,56,51.0,5.0,52,51.0,1.0,53,51.0,2.0,55,56.0,-1.0
2359,123,272526,ESCUELA DE FORMACION DEPORTIVA OSMIRO COLONIA,TULUÁ,OFICIAL,MAÑANA,36,273.8,250.0,23.8,56,52.0,4.0,56,52.0,4.0,53,47.0,6.0,54,49.0,5.0,55,51.0,4.0
2408,124,159053,SANTA ISABEL,PRADERA,OFICIAL,MAÑANA,79,273.5,270.0,3.5,57,57.0,0.0,56,56.0,0.0,52,51.0,1.0,55,53.0,2.0,51,50.0,1.0
2413,125,645416,COL HERNANDO CAICEDO,ZARZAL,NO OFICIAL,COMPLETA,34,273.1,274.0,-0.9,56,58.0,-2.0,56,56.0,0.0,53,52.0,1.0,54,54.0,0.0,53,53.0,0.0
2420,126,158352,COLEGIO PRINCIPE DE PAZ,TULUÁ,NO OFICIAL,MAÑANA,25,273.1,266.0,7.1,58,56.0,2.0,55,53.0,2.0,52,52.0,0.0,53,52.0,1.0,56,53.0,3.0
2436,127,95331,INSTITUTO TECNICO COMERCIAL DEL NORTE - SEDE PRINCIPAL,CALI,NO OFICIAL,MAÑANA,39,273.1,285.0,-11.9,57,61.0,-4.0,54,55.0,-1.0,54,56.0,-2.0,53,56.0,-3.0,56,58.0,-2.0
2450,128,74690,COLEGIO AMOR Y CIENCIA,CALI,NO OFICIAL,MAÑANA,19,272.7,248.0,24.7,59,54.0,5.0,54,49.0,5.0,51,48.0,3.0,55,47.0,8.0,52,52.0,0.0
2470,129,753376,"INSTITUCION EDUCATIVA TECNICO DE COMERCIO SANTA CECILIA -
SEDE PRINCIPAL",CALI,OFICIAL,ÚNICA,139,272.7,279.0,-6.3,58,60.0,-2.0,55,55.0,0.0,52,55.0,-3.0,53,53.0,0.0,55,56.0,-1.0
2519,130,74781,"TECNOLÓGICO EN INFORMATICA Y COMERCIO DE BUENAVENTURA
INCOMEB",BUENAVENTURA,NO OFICIAL,MAÑANA,15,272.3,281.0,-8.7,57,59.0,-2.0,53,56.0,-3.0,53,55.0,-2.0,53,54.0,-1.0,60,58.0,2.0
2544,131,563718,MARIA AUXILIADORA,SEVILLA,OFICIAL,ÚNICA,6,271.9,223.0,48.9,54,47.0,7.0,57,45.0,12.0,54,43.0,11.0,54,42.0,12.0,50,48.0,2.0
2548,133,18986,SEDE PRINCIPAL INSTITUTO JULIA RESTREPO,TULUÁ,OFICIAL,MAÑANA,214,271.9,266.0,5.9,57,56.0,1.0,56,53.0,3.0,52,52.0,0.0,53,52.0,1.0,53,52.0,1.0
2551,134,743971,CARDENAS MIRRIÑAO,PALMIRA,OFICIAL,ÚNICA,163,271.5,270.0,1.5,57,57.0,0.0,55,54.0,1.0,51,51.0,0.0,54,53.0,1.0,55,56.0,-1.0
2574,135,43299,INSTITUCION EDUCATIVA ALVARO ECHEVERRY - SEDE PRINCIPAL,CALI,OFICIAL,TARDE,101,271.5,259.0,12.5,57,56.0,1.0,53,52.0,1.0,54,50.0,4.0,53,49.0,4.0,55,52.0,3.0
2598,136,148759,COLEGIO LAS MERCEDES,BUENAVENTURA,NO OFICIAL,MAÑANA,18,271.2,252.0,19.2,58,52.0,6.0,54,51.0,3.0,53,48.0,5.0,50,49.0,1.0,60,55.0,5.0
2617,137,695486,LICEO FEMENINO SATELITE,PALMIRA,OFICIAL,ÚNICA,17,271.2,266.0,5.2,55,54.0,1.0,56,55.0,1.0,51,50.0,1.0,55,54.0,1.0,54,53.0,1.0
2620,138,24307,SAN VICENTE - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,MAÑANA,86,271.2,254.0,17.2,57,55.0,2.0,53,51.0,2.0,53,48.0,5.0,53,49.0,4.0,57,52.0,5.0
2642,139,671107,GIMNASIO DEL CALIMA,CALIMA,OFICIAL,ÚNICA,112,270.8,273.0,-2.2,58,58.0,0.0,55,55.0,0.0,52,53.0,-1.0,52,53.0,-1.0,53,54.0,-1.0
2658,140,100800,SEDE PRINCIPAL NO. 7 MARIA ANTONIA RUIZ,TULUÁ,OFICIAL,MAÑANA,112,270.8,265.0,5.8,58,57.0,1.0,54,52.0,2.0,52,52.0,0.0,53,51.0,2.0,53,53.0,0.0
2660,141,269522,ACADEMICO - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,ÚNICA,132,270.4,257.0,13.4,58,54.0,4.0,53,51.0,2.0,52,49.0,3.0,53,51.0,2.0,55,52.0,3.0
2675,142,269613,COLEGIO MUNICIPAL DEL DEPORTE,GUADALAJARA DE BUGA,OFICIAL,ÚNICA,19,270.4,268.0,2.4,56,56.0,0.0,52,55.0,-3.0,53,52.0,1.0,56,53.0,3.0,52,49.0,3.0
2695,143,136994,SAGRADA FAMILIA,PALMIRA,OFICIAL,TARDE,28,270.4,280.0,-9.6,56,59.0,-3.0,54,57.0,-3.0,53,54.0,-1.0,53,53.0,0.0,55,59.0,-4.0
2696,144,122838,SEBASTIAN DE BELALCAZAR,PALMIRA,OFICIAL,MAÑANA,12,270.4,249.0,21.4,58,54.0,4.0,57,50.0,7.0,52,46.0,6.0,50,49.0,1.0,52,51.0,1.0
2698,145,111955,ALFONSO LOPEZ PUMAREJO,PALMIRA,OFICIAL,MAÑANA,58,270.0,268.0,2.0,57,58.0,-1.0,55,56.0,-1.0,51,49.0,2.0,53,52.0,1.0,54,53.0,1.0
2730,146,733998,"INSTITUCION EDUCATIVA POLITECNICO MUNICIPAL DE CALI - SEDE
PRINCIPAL",CALI,OFICIAL,ÚNICA,153,270.0,260.0,10.0,56,55.0,1.0,54,52.0,2.0,52,50.0,2.0,54,51.0,3.0,54,53.0,1.0
2731,147,100685,INSTITUTO MARIA AUXILIADORA - SEDE PRINCIAPAL,TULUÁ,NO OFICIAL,COMPLETA,49,270.0,272.0,-2.0,57,57.0,0.0,53,54.0,-1.0,53,54.0,-1.0,52,52.0,0.0,57,57.0,0.0
2736,148,743195,LICEO MIXTO LA MILAGROSA,CALI,NO OFICIAL,MAÑANA,29,270.0,265.0,5.0,59,59.0,0.0,54,52.0,2.0,50,50.0,0.0,52,50.0,2.0,57,56.0,1.0
2738,149,271387,MARIA MONTESSORI,PALMIRA,OFICIAL,TARDE,20,270.0,267.0,3.0,56,58.0,-2.0,55,53.0,2.0,51,51.0,0.0,54,52.0,2.0,54,52.0,2.0
2745,150,660175,ANTONIA SANTOS,YUMBO,OFICIAL,MAÑANA,71,269.6,254.0,15.6,57,54.0,3.0,54,51.0,3.0,52,48.0,4.0,53,50.0,3.0,53,51.0,2.0
2772,151,119750,LIC PORVENIR,CALI,NO OFICIAL,MAÑANA,78,269.6,240.0,29.6,57,52.0,5.0,54,49.0,5.0,52,44.0,8.0,53,47.0,6.0,53,49.0,4.0
2777,152,561829,VASCO NUÑEZ DE BALBOA,PALMIRA,OFICIAL,MAÑANA,21,269.6,243.0,26.6,55,51.0,4.0,56,48.0,8.0,49,47.0,2.0,55,48.0,7.0,56,51.0,5.0
2780,153,710111,CARDENAS,PALMIRA,OFICIAL,ÚNICA,55,269.2,247.0,22.2,57,53.0,4.0,55,50.0,5.0,52,47.0,5.0,52,48.0,4.0,52,48.0,4.0
2792,154,18457,INMACULADA CONCEPCIÓN,GINEBRA,OFICIAL,MAÑANA,91,269.2,258.0,11.2,57,54.0,3.0,55,53.0,2.0,50,49.0,1.0,53,50.0,3.0,55,53.0,2.0
2803,155,726141,INSTITUCION EDUCATIVA JORGE ISAACS,CALI,OFICIAL,ÚNICA,429,269.2,260.0,9.2,57,56.0,1.0,54,52.0,2.0,52,50.0,2.0,52,50.0,2.0,55,53.0,2.0
2808,156,671495,JOSEFINA SÁNCHEZ TELLO,YUMBO,OFICIAL,ÚNICA,70,269.2,240.0,29.2,57,51.0,6.0,55,48.0,7.0,51,46.0,5.0,53,47.0,6.0,52,48.0,4.0
2877,157,694729,"INSTITUCION EDUCATIVA LA BUITRERA JOSE MARIA GARCIA DE
TOLED",CALI,OFICIAL,ÚNICA,35,268.5,228.0,40.5,56,50.0,6.0,54,46.0,8.0,52,42.0,10.0,54,45.0,9.0,50,43.0,7.0
2903,159,136630,PANEBIANCO AMERICANO - SEDE PRINCIPAL,CANDELARIA,OFICIAL,MAÑANA,68,268.1,253.0,15.1,58,55.0,3.0,54,50.0,4.0,51,49.0,2.0,52,49.0,3.0,52,50.0,2.0
2908,160,74856,MANUEL ANTONIO SANCLEMENTE - SEDE PRINCIPAL,GUADALAJARA DE BUGA,OFICIAL,TARDE,65,267.7,265.0,2.7,56,56.0,0.0,54,51.0,3.0,51,52.0,-1.0,53,52.0,1.0,54,56.0,-2.0
2921,162,17210,COLEGIO SANTA ISABEL DE HUNGRIA SEDE ALFONSO LOPEZ,CALI,NO OFICIAL,MAÑANA,292,267.7,266.0,1.7,56,56.0,0.0,53,54.0,-1.0,53,51.0,2.0,52,52.0,0.0,54,53.0,1.0
2924,163,636951,FRAY LUIS APOSTOL,JAMUNDÍ,NO OFICIAL,COMPLETA,21,267.7,216.0,51.7,54,46.0,8.0,53,41.0,12.0,55,42.0,13.0,52,43.0,9.0,54,45.0,9.0
